District name,Latitude,Longitude
Quận 4,10.7607328,106.7075519
Tân Phú,10.7914967,106.6278431
Quận 8,10.7217236,106.6296151
Tân Bình,10.802583,106.6521157
Quận 2,10.78005,106.753889
Quận 7,10.7375481,106.7302238
Thủ Đức,10.8298295,106.7617899
Nhà Bè,10.65096705,106.7263825
Phú Nhuận,10.800981,106.6794379
Quận 5,10.7553616,106.6685441
Quận 1,10.7773145,106.6999907
Gò Vấp,10.8345635,106.6739598
Quận 6,10.745886,106.6392921
Quận 9,10.82983,106.81975
Quận 3,10.778639,106.6870156
Quận Bình Thạnh,10.8117887,106.7039109
Hóc Môn,10.878345,106.5763531
Củ Chi,11.0370567,106.5024104
Bình Chánh,10.6644881,106.5704726
Quận Bình Tân,10.7703708,106.5996353
Quận 11,10.762963,106.649067
Quận 10,10.771955,106.666542
Quận 12,10.854501,106.634507
Cần Giờ,10.411379,106.954705
