Price,Area,Bedrooms,Bathrooms,Floors,Frontages,Main road,Amenities,District name,Year_Fraction,Price_per_Square_Meter
3.90E+12,150,2,1,4,,1,3,Quận 4,2023.942466,25993333333
,85,,,2,2,1,2,Tân Phú,2023.936986,
12800,75,5,6,2,0,0,3,Quận 8,2023.936986,170.67
3400,110,,,4,0,0,3,Tân Bình,2023.936986,30.91
,12,,,,,1,4,Quận 2,2023.936986,
8990,85,7,3,4,0,0,2,Quận 7,2023.936986,105.76
7390,53,4,4,,2,,9,Thủ Đức,2023.936986,139.43
16000,80,6,6,,0,0,5,,2023.936986,200
4750,50,,,,0,0,1,Nhà Bè,2023.936986,95
5500,96,,,2,0,0,1,Tân Phú,2023.936986,57.29
5500,51,,,2,,1,4,Phú Nhuận,2023.939726,107.84
9390,80,,5,2,,1,1,Quận 5,2023.942466,117.38
4600,45,2,2,2,0,0,4,,2023.939726,102.22
7350,41,,,4,0,0,1,Tân Bình,2023.942466,179.27
,96,2,1,5,0,0,3,Quận 1,2023.942466,
,180,3,3,,,1,1,,2023.934247,
19000,180,,,3,0,0,1,Tân Bình,2023.936986,105.56
21800,80,8,8,3,,1,3,,2023.936986,272.5
4000,33,3,3,2,0,0,7,,2023.936986,121.21
4700,70,,,,,1,2,Thủ Đức,2023.936986,67.14
4490,45,,,3,0,0,5,Gò Vấp,2023.860274,99.78
3900,40,3,3,,0,0,3,,2023.860274,97.5
3800,76,4,3,3,0,0,3,,2023.860274,50
,64,,,3,0,0,5,,2023.860274,
5000,50,4,3,,,,6,Tân Bình,2023.860274,100
4800,90,2,1,2,0,0,1,,2023.863014,53.33
4200,64,3,3,,,,0,,2023.863014,65.62
3650,40,,,6,,1,5,Tân Bình,2023.863014,91.25
3700,44,,3,4,0,0,1,Gò Vấp,2023.863014,84.09
3500,42,2,2,2,0,0,1,,2023.863014,83.33
5000,51,4,3,2,0,0,3,Tân Phú,2023.863014,98.04
3600,50,,,,0,0,4,,2023.860274,72
5200,46,,,3,0,0,1,Phú Nhuận,2023.863014,113.04
11000,80,6,5,2,0,0,8,,2023.860274,137.5
3.78E+12,36,,,2,0,0,4,,2023.860274,1.05E+11
3000,61,2,1,,0,0,2,Thủ Đức,2023.860274,49.18
3000,32,,,5,,,2,Tân Phú,2023.860274,93.75
4850000000,48,2,2,4,0,0,1,,2023.860274,101041666.7
3330,49,,,2,0,0,2,Tân Bình,2023.860274,67.96
4320000,42,,,2,0,0,1,,2023.860274,102857.14
,36.05,,,3,0,0,2,Phú Nhuận,2023.723288,
3770,25.6,,,3,0,0,5,,2023.720548,147.27
,30.45,4,6,4,0,0,3,Gò Vấp,2023.720548,
1900,32,2,2,3,0,0,3,Phú Nhuận,2023.720548,59.38
6500,81,4,4,3,,,7,Phú Nhuận,2023.720548,80.25
4900,36,,,2,0,0,1,Phú Nhuận,2023.720548,136.11
5300,41,,,4,,1,4,Phú Nhuận,2023.720548,129.27
5300,41,,,,,,12,Thủ Đức,2023.720548,129.27
4800,60,5,4,4,0,0,4,Gò Vấp,2023.720548,80
