Price,Area,Address,Number of bedrooms,Number of bathrooms,Number of floors,Amenities,Street name,Ward name,District name,Number of frontages,Alley or main road,Listing ID
"12,8 tỷ VND","75m2 (3,2m x 21m)","Ngay Nguyễn Tất Thành, Quận 4",5,6,4,"Sân Thượng, Bếp, Mặt bằng buôn bán",Nguyễn Tất Thành,Not mentioned,Quận 4,Not mentioned,Mặt tiền ngay trục đường kinh doanh nhộn nhịp,285164
"8,99 tỷ",85m ngang 8m,"ngay góc 2 mặt tiền đường 12m không lộ giới , ngang khủng 8m ngay đường Hòa Bình, Tân Phú",7,3,"1 trệt, 1 lầu","khu vực xây dựng nhà cao tầng, ô tô ngủ trong nhà",Hòa Bình,Tân Phú,Tân Phú,2,ngay đường,285126
3.4 tỷ VND,105m,"Hẻm Mễ Cốc, P15, Q8",4,3,2,"Sân thượng, Nhà xây dựng kiên cố, Hẻm taxi tận cửa",Mễ Cốc,P15,Q8,37m2,Nhà trong hẻm,285118
7.39 tỷ VND,53m2,"Hẻm xe hơi, giáp Tân Bình",4,5,4,"Khu vực an ninh, dân trí cao, gần mặt tiền",Phan Huy Ích,Not specified,Tân Bình,Not specified,Hẻm,285109
16 tỷ VND,4x20m,"Bùi Tá Hán, An Phú, Quận 2",Not mentioned,Not mentioned,Not mentioned,"An ninh cao, Gần công viên đi bộ, Đường 18m có vỉa hè, Hiếm nhà có đầy đủ công năng",Bùi Tá Hán,An Phú,Quận 2,4m,Ngoài lộ,285107
1.x tỷ VND,"12m2, diện tích ngang: 3m; dài 4m, diện tích sử dụng: 24m2","Trần Xuân Soạn, phường Tân Hưng, Quận 7",1,Not specified,"2 (1 trệt, 1 lầu)","Khu dân cư hiện hữu, không quy hoạch",Trần Xuân Soạn,Tân Hưng,Quận 7,Not specified,Hẻm xe máy,285102
"23,5 tỷ",118m2,"Bán nhà 2 mặt tiền đường Phạm Văn Đồng, Thủ Đức - full thổ cư",Not specified,Not specified,Not specified,"Ví trí đẹp đối diện Trung tâm thương mại GigaMall, Vị trí khu vực kinh doanh sầm uất, tấp nập, Thích hợp xây cao ốc, văn phòng, khách sạn, showroom hoặc kinh doanh buôn bán, Hiện đang cho thuê 30tr/tháng, Hỗ trợ vay Ngân Hàng",Phạm Văn Đồng,Hiệp Bình Chánh,Thủ Đức,2,Not specified,285100
4 tỷ,50m2,"Nguyễn Khuyến, phường 12, Bình Thạnh",3,Not mentioned,Not mentioned,"Giao thông thuận tiện, dịch vụ tiện ích đầy đủ, gần trường học các cấp, gần chợ, đại học",Nguyễn Khuyến,Phường 12,Bình Thạnh,Not mentioned,Hẻm,285098
1.1 tỷ VND,150m2 (5 x 30m),"Khu vực tập trung nhiều Khu dân cư, các Dự án lớn, thu hút đông đảo các Nhà Đầu Tư lớn, Huyện Nhà Bè, TP.Hồ Chí Minh",2,1,Not mentioned,Sân sau trồng cây,Not mentioned,Not mentioned,Huyện Nhà Bè,Not mentioned,Hẻm nhưng xe hơi tránh được,285097
5 tỷ VND,96m2 (4.3m x 22.5m),"Tây Bắc, TP. Hồ Chí Minh",Not specified,Not specified,"1 trệt, 1 lửng",Not specified,Not specified,Bình Tân,Tân Phú,Not specified,Hẻm,285087
4.x tỷ VND,45m2,"Phan Đăng Lưu, Phường 7, Phú Nhuận",2,2,2,"Gần CoopMart, BV Hoàn Mỹ, phố ẩm thực, công an phường",Phan Đăng Lưu,Phường 7,Phú Nhuận,Sá tặng tiền,Ngoài lộ,285163
Giá không được cung cấp trong nội dung,"41m công nhận, thực tế 66m, ngang 3.3m","Lê Hồng Phong, Quận 5",Số phòng ngủ không được cung cấp trong nội dung,Số phòng tắm không được cung cấp trong nội dung,2 tầng,Không có thông tin về tiện ích trong nội dung,Lê Hồng Phong,Không được cung cấp trong nội dung,Quận 5,Không được cung cấp trong nội dung,Ngoài lộ,285086
3.5 tỷ,7 x 13,"Vị trí khá Vị trí, đường số 9, nằm giữa Ql1k và đường số 11",3,Not mentioned,2,"Hoàn công đầu đủ, hàng xóm thân thiện, gần trung tâm thương mại, chợ Linh Xuân",đường số 9,Not mentioned,Not mentioned,Not mentioned,Hẻm xe hơi,285162
5 tỷ VND,40m2,"Phường 10, Quận Tân Bình",Not specified,Not specified,4,Hẻm xe hơi đậu trước nhà,Bùi Thế Mỹ,Phường 10,Quận Tân Bình,1,Nhà trong hẻm,285161
21 tỷ 68 triệu VND,4x20m,"Quận 11, Đường 3/2",15,Not mentioned,5,"Pháp lý chuẩn, sổ tại gia, công chứng ngay",Đường 3/2,Not mentioned,Quận 11,2-Mar,Nhà trong hẻm,285159
19 tỷ VND,180m2 (6.3m x 28.5m),"Đường Kha Vạn Cân, Phường Linh Đông",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Kha Vạn Cân,Linh Đông,Not mentioned,Not mentioned,Ngoài lộ,285145
5 tỷ,51m2,"Hẻm Âu Cơ, Phường 9, Tân Bình",Not mentioned,Not mentioned,3,Sổ đẹp hoàn công đủ,Hẻm Âu Cơ,Phường 9,Tân Bình,Not mentioned,Nhà trong hẻm,285142
4.x tỷ VND,33m2,"Sát mặt tiền Bạch Đằng, Phường 14, Bình Thạnh",3,3,3,"Gần BV Gia Định, UBND quận, công an phường; tiện ích đầy đủ",Bạch Đằng,Phường 14,Bình Thạnh,Not mentioned,Ngoài lộ,285135
"9,39 tỷ",80m2 (4m × 20m × 2m),Bình Thạnh,5,5,2,"Khu dân trí cao, an ninh, yên tĩnh, camera 24/24, bếp, ban công, sân thượng",Not mentioned,Not mentioned,Bình Thạnh,4m,Nhà trong hẻm,285129
4.8 tỷ VND,90m2 (71m2 công nhận),"Đường 588 Phước Long A, Thủ Đức",Not mentioned,Not mentioned,Not mentioned,"Hòn non bộ, sân chơi",Đường 588 Phước Long A,Phước Long A,Thủ Đức,71m,Ngoài lộ,284382
4 tỷ nhỉnh,45m2 (4.5x10),"Trung tâm Gò Vấp, Quang Trung, P11",3,3,3,"phòng khách, Bếp… - Vị trí đẹp, hẻm xe hơi, gần Chợ Hạnh Thông Tây, siêu thị Coop Mart…",Quang Trung,P11,Gò Vấp,Not mentioned,Nhà trong hẻm,284364
3 tỷ,76m2,"Lê Đức Thọ, Gò Vấp",5,Not mentioned,Not mentioned,"New house, clear legal status, suitable for both living and renting",Lê Đức Thọ,Gò Vấp,Not mentioned,6.5m,Nhà trong hẻm,284363
5 tỷ VND,50m2,Tăng Nhơn Phú A,4,Not mentioned,3,"Bếp, Ban công, Sân Thượng","Lã Xuân Oai, Lê Văn Việt",Not mentioned,Tăng Nhơn Phú A,Not mentioned,Hẻm,284360
4 tỷ 2,64m2 (4x16),"Nguyễn Hữu Tiến, Tân Phú",3,Not mentioned,3,"Near Aeon Mall Tân Phú, sân bay 15p, Chợ, trường học các cấp, Trung Tâm thương mại",Nguyễn Hữu Tiến,Tân Phú,Not mentioned,Not mentioned,Hẻm xe hơi đổ cửa,284354
